"No.","Time","Source","Destination","Protocol","Length","Info","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","tcp_Flags","tcp_WindowSize","srcPort","destPort","Delay"
"3684","240.496381116","172.18.0.11","10.0.0.1","TCP","66","49396  >  102 [ACK] Seq=2202 Ack=3196 Win=502 Len=0 TSval=1787673453 TSecr=2261338682","","","","","","","","","","","","","","","","0x010","502","49396","102","0.000021854"
"3685","240.949265105","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans:  3089; Unit:   1, Func:   1: Read Coils","","","","","","","","","","6","3089","Read Coils","","","","0x018","502","55868","502","0.452883989"
"3686","240.949604750","10.0.0.2","172.18.0.7","Modbus/TCP","76","Response: Trans:  3089; Unit:   1, Func:   1: Read Coils","","","","","","","","","","4","3089","Read Coils","3685","0.000339645","","0x018","43","502","55868","0.000339645"
"3687","240.949622678","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2893 Ack=2795 Win=502 Len=0 TSval=3726723372 TSecr=4262465287","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000017928"
"3688","241.476730707","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1754","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.527108029"
"3689","241.477988350","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1754","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.001257643"
"3690","241.478015159","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=89742 Ack=118178 Win=501 Len=0 TSval=1867588116 TSecr=784808511","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000026809"
"3691","241.478658740","172.18.0.13","10.0.0.3","OpcUa","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","127","1755","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000643581"
"3692","241.479426449","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","1755","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000767709"
"3693","241.479439210","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=89869 Ack=118257 Win=501 Len=0 TSval=1867588117 TSecr=784808513","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000012761"
"3694","241.479831375","172.18.0.13","10.0.0.3","OpcUa","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","107","1756","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000392165"
"3695","241.480435358","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","1756","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000603983"
"3696","241.480448689","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=89976 Ack=118336 Win=501 Len=0 TSval=1867588118 TSecr=784808514","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000013331"
"3697","241.480811308","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1757","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000362619"
"3698","241.481533012","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1757","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000721704"
"3699","241.481545072","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=90077 Ack=118553 Win=501 Len=0 TSval=1867588119 TSecr=784808515","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000012060"
"3700","241.482037018","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","1758","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000491946"
"3701","241.482730711","10.0.0.3","172.18.0.13","OpcUa","240","UA Secure Conversation Message: BrowseResponse","174","1758","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000693693"
"3702","241.482742092","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=90183 Ack=118727 Win=501 Len=0 TSval=1867588120 TSecr=784808516","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000011381"
"3703","241.483289282","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","1759","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000547190"
"3704","241.483936492","10.0.0.3","172.18.0.13","OpcUa","195","UA Secure Conversation Message: BrowseResponse","129","1759","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000647210"
"3705","241.483946821","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=90289 Ack=118856 Win=501 Len=0 TSval=1867588121 TSecr=784808517","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010329"
"3706","241.484530749","172.18.0.13","10.0.0.3","OpcUa","165","UA Secure Conversation Message: ReadRequest","99","1760","ReadRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000583928"
"3707","241.485031785","10.0.0.3","172.18.0.13","OpcUa","154","UA Secure Conversation Message: ReadResponse","88","1760","ReadResponse","ZwMPtWWKcz","","","","","","","","","","","","0x018","43","4840","60324","0.000501036"
"3708","241.485077773","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=90388 Ack=118944 Win=501 Len=0 TSval=1867588123 TSecr=784808518","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000045988"
"3709","242.956933927","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 12954; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","12954","Write Single Coil","","","","0x018","502","55868","502","1.471856154"
"3710","242.957378154","10.0.0.2","172.18.0.7","Modbus/TCP","78","Response: Trans: 12954; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","12954","Write Single Coil","3709","0.000444227","","0x018","43","502","55868","0.000444227"
"3711","242.957396371","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2905 Ack=2807 Win=502 Len=0 TSval=3726725380 TSecr=4262467295","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000018217"
"3712","243.156060199","172.18.0.3","10.0.0.2","Modbus/TCP","78","   Query: Trans: 34213; Unit:   1, Func:   1: Read Coils","","","","","","","","","","6","34213","Read Coils","","","","0x018","502","51766","502","0.198663828"
"3713","243.156551131","10.0.0.2","172.18.0.3","Modbus/TCP","76","Response: Trans: 34213; Unit:   1, Func:   1: Read Coils","","","","","","","","","","4","34213","Read Coils","3712","0.000490932","","0x018","43","502","51766","0.000490932"
"3714","243.156566879","172.18.0.3","10.0.0.2","TCP","66","51766  >  502 [ACK] Seq=793 Ack=661 Win=502 Len=0 TSval=897950818 TSecr=4262467494","","","","","","","","","","","","","","","","0x010","502","51766","502","0.000015748"
"3715","243.459763812","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 31928; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","31928","Write Single Coil","","","","0x018","502","55868","502","0.303196933"
"3716","243.460122888","10.0.0.2","172.18.0.7","Modbus/TCP","78","Response: Trans: 31928; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","31928","Write Single Coil","3715","0.000359076","","0x018","43","502","55868","0.000359076"
"3717","243.460141637","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2917 Ack=2819 Win=502 Len=0 TSval=3726725883 TSecr=4262467797","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000018749"
"3718","243.491334536","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1761","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.031192899"
"3719","243.492353700","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1761","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.001019164"
"3720","243.492369371","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=90489 Ack=119161 Win=501 Len=0 TSval=1867590130 TSecr=784810525","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000015671"
"3721","243.493220595","172.18.0.13","10.0.0.3","OpcUa","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","127","1762","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000851224"
