"No.","Time","Source","Destination","Protocol","Length","Info","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","tcp_Flags","tcp_WindowSize","srcPort","destPort","Delay"
"3573","233.427418221","172.18.0.13","10.0.0.3","OpcUa","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","107","1728","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000432633"
"3574","233.428031308","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","1728","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000613087"
"3575","233.428042054","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86988 Ack=114404 Win=501 Len=0 TSval=1867580066 TSecr=784800461","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010746"
"3576","233.428504345","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1729","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000462291"
"3577","233.429303548","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1729","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000799203"
"3578","233.429314827","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=87089 Ack=114621 Win=501 Len=0 TSval=1867580067 TSecr=784800462","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000011279"
"3579","233.429839966","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","1730","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000525139"
"3580","233.430602372","10.0.0.3","172.18.0.13","OpcUa","240","UA Secure Conversation Message: BrowseResponse","174","1730","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000762406"
"3581","233.430614815","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=87195 Ack=114795 Win=501 Len=0 TSval=1867580068 TSecr=784800464","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000012443"
"3582","233.431081823","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","1731","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000467008"
