"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"517","30.194190089","172.18.0.6","10.0.0.2","TCP","63849","502","54","63849  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000055065","","","","","","","","","","","","","","","","0.000055065"
"519","30.194353584","172.18.0.6","10.0.0.3","TCP","7187","4840","54","7187  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000014085","","","","","","","","","","","","","","","","0.000014085"
"520","30.196126630","172.18.0.6","10.0.0.3","TCP","61","4840","154","61  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001773046","","","","","","","","","","","","","","","","0.000000000"
"522","30.196398051","172.18.0.6","10.0.0.3","TCP","61","4840","54","61  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000025645","","","","","","","","","","","","","","","","0.000025645"
"523","30.197549148","172.18.0.6","10.0.0.3","TCP","40263","4840","154","40263  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001151097","","","","","","","","","","","","","","","","0.000000000"
"525","30.197895999","172.18.0.6","10.0.0.3","TCP","40263","4840","54","40263  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000019499","","","","","","","","","","","","","","","","0.000019499"
"526","30.201371420","172.18.0.6","10.0.0.2","TCP","21154","502","154","21154  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.003475421","","","","","","","","","","","","","","","","0.000000000"
"528","30.201617554","172.18.0.6","10.0.0.2","TCP","21154","502","54","21154  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000024348","","","","","","","","","","","","","","","","0.000024348"
"529","30.205942008","172.18.0.6","10.0.0.2","TCP","54853","502","154","54853  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.004324454","","","","","","","","","","","","","","","","0.000000000"
"531","30.206214412","172.18.0.6","10.0.0.2","TCP","54853","502","54","54853  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000053978","","","","","","","","","","","","","","","","0.000053978"
"532","30.206876204","172.18.0.6","10.0.0.2","TCP","51516","502","154","51516  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.000661792","","","","","","","","","","","","","","","","0.000000000"
"534","30.207122401","172.18.0.6","10.0.0.2","TCP","51516","502","54","51516  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000055081","","","","","","","","","","","","","","","","0.000055081"
"535","30.208971995","172.18.0.6","10.0.0.3","TCP","31009","4840","154","31009  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001849594","","","","","","","","","","","","","","","","0.000000000"
"537","30.209293203","172.18.0.6","10.0.0.3","TCP","31009","4840","54","31009  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000028528","","","","","","","","","","","","","","","","0.000028528"
"538","30.213722507","172.18.0.6","10.0.0.3","TCP","59108","4840","154","59108  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.004429304","","","","","","","","","","","","","","","","0.000000000"
"540","30.214102636","172.18.0.6","10.0.0.3","TCP","59108","4840","54","59108  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000021729","","","","","","","","","","","","","","","","0.000021729"
"541","30.216197502","172.18.0.6","10.0.0.3","TCP","8831","4840","154","8831  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.002094866","","","","","","","","","","","","","","","","0.000000000"
"543","30.216821469","172.18.0.6","10.0.0.3","TCP","8831","4840","54","8831  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000057556","","","","","","","","","","","","","","","","0.000057556"
"544","30.223858116","172.18.0.6","10.0.0.1","TPKT","2986","102","154","Continuation","0x002","8192","0.007036647","","","","","","","","","","","","","","","","0.000000000"
"546","30.224180059","172.18.0.6","10.0.0.1","TCP","2986","102","54","2986  >  102 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000033126","","","","","","","","","","","","","","","","0.000033126"
"547","30.225894214","172.18.0.6","10.0.0.2","TCP","44583","502","154","44583  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.001714155","","","","","","","","","","","","","","","","0.000000000"
"549","30.226172577","172.18.0.6","10.0.0.2","TCP","44583","502","54","44583  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000031105","","","","","","","","","","","","","","","","0.000031105"
"550","30.227546598","172.18.0.6","10.0.0.3","TCP","18124","4840","154","18124  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001374021","","","","","","","","","","","","","","","","0.000000000"
"552","30.227754820","172.18.0.6","10.0.0.3","TCP","18124","4840","54","18124  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000017884","","","","","","","","","","","","","","","","0.000017884"
"553","30.230390994","172.18.0.6","10.0.0.3","TCP","44679","4840","154","44679  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.002636174","","","","","","","","","","","","","","","","0.000000000"
"555","30.230692372","172.18.0.6","10.0.0.3","TCP","44679","4840","54","44679  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000033945","","","","","","","","","","","","","","","","0.000033945"
"556","30.238356740","172.18.0.6","10.0.0.3","TCP","15510","4840","154","15510  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.007664368","","","","","","","","","","","","","","","","0.000000000"
"558","30.238777392","172.18.0.6","10.0.0.3","TCP","15510","4840","54","15510  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000032174","","","","","","","","","","","","","","","","0.000032174"
"559","30.238969290","172.18.0.6","10.0.0.2","TCP","65114","502","154","65114  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.000191898","","","","","","","","","","","","","","","","0.000000000"
"561","30.239232091","172.18.0.6","10.0.0.2","TCP","65114","502","54","65114  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000023897","","","","","","","","","","","","","","","","0.000023897"
"562","30.239439519","172.18.0.6","10.0.0.2","TCP","23630","502","154","23630  >  502 [SYN] Seq=0 Win=8192 Len=100","0x002","8192","0.000207428","","","","","","","","","","","","","","","","0.000000000"
"564","30.239677656","172.18.0.6","10.0.0.2","TCP","23630","502","54","23630  >  502 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000022017","","","","","","","","","","","","","","","","0.000022017"
"565","30.239905268","172.18.0.6","10.0.0.1","TPKT","24398","102","154","Continuation","0x002","8192","0.000227612","","","","","","","","","","","","","","","","0.000000000"
