"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"21341","42.769890070","172.18.0.6","10.0.0.1","TCP","54894","8888","66","54894  >  8888 [FIN, ACK] Seq=183 Ack=696 Win=64128 Len=0 TSval=404450642 TSecr=469599309","0x011","64128","0.004927021","","","","","","","","","","","","","","","","0.058081335"
"21342","42.770049762","172.18.0.6","10.0.0.1","TCP","54930","8888","74","54930  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404450642 TSecr=0 WS=128","0x002","64240","0.000159692","","","","","","","","","","","","","","","","0.000000000"
"21345","42.770251754","172.18.0.6","10.0.0.1","TCP","54930","8888","66","54930  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404450642 TSecr=469599411","0x010","64256","0.000014383","","","","","","","","","","","","","","","","0.000014383"
"21346","42.774975689","172.18.0.6","10.0.0.1","HTTP","54928","8888","138","GET / HTTP/1.0 ","0x018","64256","0.004723935","","","","","","","","","","","","","","","","0.014577603"
"21347","42.775118019","172.18.0.6","10.0.0.1","HTTP","54926","8888","138","GET / HTTP/1.0 ","0x018","64256","0.000142330","","","","","","","","","","","","","","","","0.015137983"
"21348","42.775186682","172.18.0.6","10.0.0.1","HTTP","54924","8888","138","GET / HTTP/1.0 ","0x018","64256","0.000068663","","","","","","","","","","","","","","","","0.015286448"
"21353","42.775838732","172.18.0.6","10.0.0.1","TCP","54924","8888","66","54924  >  8888 [ACK] Seq=73 Ack=187 Win=64128 Len=0 TSval=404450647 TSecr=469599416","0x010","64128","0.000040221","","","","","","","","","","","","","","","","0.000040221"
"21355","42.775946807","172.18.0.6","10.0.0.1","TCP","54924","8888","66","54924  >  8888 [ACK] Seq=73 Ack=2135 Win=63488 Len=0 TSval=404450648 TSecr=469599416","0x010","63488","0.000013099","","","","","","","","","","","","","","","","0.000013099"
"21358","42.776214997","172.18.0.6","10.0.0.1","TCP","54926","8888","66","54926  >  8888 [ACK] Seq=73 Ack=187 Win=64128 Len=0 TSval=404450648 TSecr=469599417","0x010","64128","0.000009777","","","","","","","","","","","","","","","","0.000009777"
"21359","42.776218789","172.18.0.6","10.0.0.1","TCP","54926","8888","66","54926  >  8888 [ACK] Seq=73 Ack=1635 Win=63744 Len=0 TSval=404450648 TSecr=469599417","0x010","63744","0.000003792","","","","","","","","","","","","","","","","0.000003792"
