"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"1567","13.633261096","172.18.0.6","10.0.0.1","TCP","56216","9945","54","56216  >  9945 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003781899","","","","","","","","","","","","","","","","0.000000000"
"1568","13.697019547","172.18.0.6","10.0.0.1","TCP","56218","9336","54","56218  >  9336 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.063758451","","","","","","","","","","","","","","","","0.000000000"
"1569","13.699477956","172.18.0.6","10.0.0.1","TCP","56218","4896","54","56218  >  4896 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002458409","","","","","","","","","","","","","","","","0.000000000"
"1570","13.703326526","172.18.0.6","10.0.0.1","TCP","56218","746","54","56218  >  746 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003848570","","","","","","","","","","","","","","","","0.000000000"
"1571","13.708762757","172.18.0.6","10.0.0.1","TCP","56218","153","54","56218  >  153 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.005436231","","","","","","","","","","","","","","","","0.000000000"
"1572","13.713965215","172.18.0.6","10.0.0.1","TCP","56218","8566","54","56218  >  8566 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.005202458","","","","","","","","","","","","","","","","0.000000000"
"1573","13.721012888","172.18.0.6","10.0.0.1","TCP","56218","8031","54","56218  >  8031 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.007047673","","","","","","","","","","","","","","","","0.000000000"
"1574","13.723961687","172.18.0.6","10.0.0.1","TCP","56218","694","54","56218  >  694 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002948799","","","","","","","","","","","","","","","","0.000000000"
"1575","13.727856966","172.18.0.6","10.0.0.1","TCP","56218","7520","54","56218  >  7520 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003895279","","","","","","","","","","","","","","","","0.000000000"
"1576","13.729899683","172.18.0.6","10.0.0.1","TCP","56218","6834","54","56218  >  6834 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002042717","","","","","","","","","","","","","","","","0.000000000"
"1577","13.733761951","172.18.0.6","10.0.0.1","TCP","56218","9945","54","56218  >  9945 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003862268","","","","","","","","","","","","","","","","0.000000000"
"1578","13.797857844","172.18.0.6","10.0.0.3","TCP","56216","9944","54","56216  >  9944 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.064095893","","","","","","","","","","","","","","","","0.000000000"
"1579","13.800889770","172.18.0.6","10.0.0.3","TCP","56216","3235","54","56216  >  3235 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003031926","","","","","","","","","","","","","","","","0.000000000"
"1580","13.803747871","172.18.0.6","10.0.0.3","TCP","56216","6174","54","56216  >  6174 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002858101","","","","","","","","","","","","","","","","0.000000000"
"1582","13.809113589","172.18.0.6","10.0.0.3","TCP","56216","1925","54","56216  >  1925 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000051567","","","","","","","","","","","","","","","","0.000000000"
"1595","13.814570500","172.18.0.6","10.0.0.3","TCP","56216","9975","54","56216  >  9975 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000122185","","","","","","","","","","","","","","","","0.000000000"
"1604","13.821629481","172.18.0.6","10.0.0.3","TCP","56216","3037","54","56216  >  3037 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003975481","","","","","","","","","","","","","","","","0.000000000"
"1605","13.824484732","172.18.0.6","10.0.0.3","TCP","56216","5029","54","56216  >  5029 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002855251","","","","","","","","","","","","","","","","0.000000000"
"1606","13.827903491","172.18.0.6","10.0.0.3","TCP","56216","7161","54","56216  >  7161 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003418759","","","","","","","","","","","","","","","","0.000000000"
"1607","13.830727631","172.18.0.6","10.0.0.3","TCP","56216","3514","54","56216  >  3514 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002824140","","","","","","","","","","","","","","","","0.000000000"
"1608","13.834124682","172.18.0.6","10.0.0.3","TCP","56216","176","54","56216  >  176 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003397051","","","","","","","","","","","","","","","","0.000000000"
"1609","13.898352414","172.18.0.6","10.0.0.3","TCP","56218","9944","54","56218  >  9944 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.064227732","","","","","","","","","","","","","","","","0.000000000"
"1610","13.900965472","172.18.0.6","10.0.0.3","TCP","56218","3235","54","56218  >  3235 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002613058","","","","","","","","","","","","","","","","0.000000000"
"1611","13.903940461","172.18.0.6","10.0.0.3","TCP","56218","6174","54","56218  >  6174 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002974989","","","","","","","","","","","","","","","","0.000000000"
"1612","13.909442522","172.18.0.6","10.0.0.3","TCP","56218","1925","54","56218  >  1925 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.005502061","","","","","","","","","","","","","","","","0.000000000"
"1613","13.914857211","172.18.0.6","10.0.0.3","TCP","56218","9975","54","56218  >  9975 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.005414689","","","","","","","","","","","","","","","","0.000000000"
"1614","13.921720127","172.18.0.6","10.0.0.3","TCP","56218","3037","54","56218  >  3037 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.006862916","","","","","","","","","","","","","","","","0.000000000"
"1615","13.926129258","172.18.0.6","10.0.0.3","TCP","56218","5029","54","56218  >  5029 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.004409131","","","","","","","","","","","","","","","","0.000000000"
